"camp_name","dataextract_dur","dataextract_start","dataextract_stop","datavalidate_dur","datavalidate_start","datavalidate_stop","duration","end_time","fi_enabled","launch_dur","launch_start","launch_stop","launchfi_dur","launchfi_start","launchfi_stop","peak_dur","peak_start","peak_stop","postfinish_dur","postfinish_start","postfinish_stop","postlaunch_dur","postlaunch_start","postlaunch_stop","prelaunch_dur","prelaunch_start","prelaunch_stop","run_n","start_time","transform_dur","transform_start","transform_stop"
"GoldenRun_Baseline",1.0967254638671875e-05,1779054421.9061933,1779054421.9062042,9.5367431640625e-06,1779054421.9062414,1779054421.906251,101.0497477054596,1779054421.9062781,"False",0.009423971176147461,1779054320.8568313,1779054320.8662553,5.9604644775390625e-06,1779054320.8663023,1779054320.8663082,101.03983306884766,1779054320.8663247,1779054421.9061577,9.298324584960938e-06,1779054421.9061766,1779054421.9061859,1.1682510375976562e-05,1779054320.8662806,1779054320.8662922,1.1920928955078125e-05,1779054320.856811,1779054320.856823,11.0,1779054320.8565304,1.0967254638671875e-05,1779054421.906218,1779054421.906229
"GoldenRun_Baseline",1.1444091796875e-05,1779054523.1236396,1779054523.123651,9.5367431640625e-06,1779054523.123693,1779054523.1237025,101.09581661224365,1779054523.1237292,"False",0.03448152542114258,1779054422.037624,1779054422.0721054,7.867813110351562e-06,1779054422.0721602,1779054422.072168,101.05141401290894,1779054422.0721886,1779054523.1236026,9.5367431640625e-06,1779054523.1236224,1779054523.123632,1.2874603271484375e-05,1779054422.0721378,1779054422.0721507,1.8835067749023438e-05,1779054422.0375903,1779054422.037609,12.0,1779054422.0279126,1.1205673217773438e-05,1779054523.1236691,1779054523.1236804
"GoldenRun_Baseline",1.1920928955078125e-05,1779054624.4210517,1779054624.4210637,7.867813110351562e-06,1779054624.421106,1779054624.421114,101.1628885269165,1779054624.426909,"False",0.0978245735168457,1779054523.2643638,1779054523.3621883,1.7881393432617188e-05,1779054523.3622441,1779054523.362262,101.05873131752014,1779054523.3622806,1779054624.421012,9.775161743164062e-06,1779054624.421034,1779054624.4210439,1.2874603271484375e-05,1779054523.3622189,1779054523.3622317,1.1682510375976562e-05,1779054523.2643435,1779054523.2643552,13.0,1779054523.2640204,1.1444091796875e-05,1779054624.4210806,1779054624.421092
"GoldenRun_Baseline",1.0967254638671875e-05,1779054725.7566469,1779054725.7566578,7.3909759521484375e-06,1779054725.7566972,1779054725.7567046,101.17736649513245,1779054725.7567294,"False",0.029371023178100586,1779054624.5796752,1779054624.6090462,7.62939453125e-06,1779054624.6091013,1779054624.609109,101.14746642112732,1779054624.6091254,1779054725.7565918,9.298324584960938e-06,1779054725.7566302,1779054725.7566395,1.2159347534179688e-05,1779054624.6090782,1779054624.6090903,1.1920928955078125e-05,1779054624.5796552,1779054624.579667,14.0,1779054624.5793629,1.049041748046875e-05,1779054725.7566738,1779054725.7566843
"GoldenRun_Baseline",1.4543533325195312e-05,1779054826.9612045,1779054826.961219,7.152557373046875e-06,1779054826.9612665,1779054826.9612737,101.10059666633606,1779054826.9613023,"False",0.020946979522705078,1779054725.8610802,1779054725.8820271,1.4781951904296875e-05,1779054725.8820822,1779054725.882097,101.07904624938965,1779054725.8821154,1779054826.9611616,1.1682510375976562e-05,1779054826.9611835,1779054826.9611952,1.2874603271484375e-05,1779054725.8820565,1779054725.8820693,1.1205673217773438e-05,1779054725.86106,1779054725.861071,15.0,1779054725.8607056,1.0728836059570312e-05,1779054826.9612403,1779054826.961251
"GoldenRun_Baseline",1.049041748046875e-05,1779054928.1213844,1779054928.1213949,7.3909759521484375e-06,1779054928.1214318,1779054928.1214392,101.07209300994873,1779054928.1214657,"False",0.03813576698303223,1779054827.049674,1779054827.0878098,6.67572021484375e-06,1779054827.0879133,1779054827.08792,101.03340935707092,1779054827.0879393,1779054928.1213486,8.58306884765625e-06,1779054928.121369,1779054928.1213775,1.33514404296875e-05,1779054827.0878863,1779054827.0878997,1.1205673217773438e-05,1779054827.0496542,1779054827.0496655,16.0,1779054827.0493727,1.049041748046875e-05,1779054928.1214058,1779054928.1214163
"GoldenRun_Baseline",1.9073486328125e-05,1779055029.3122602,1779055029.3122792,1.0967254638671875e-05,1779055029.312379,1779055029.3123899,101.07048225402832,1779055029.3124278,"False",0.029216527938842773,1779054928.2422547,1779054928.2714713,6.4373016357421875e-06,1779054928.2715309,1779054928.2715373,101.04065370559692,1779054928.271554,1779055029.3122077,1.3828277587890625e-05,1779055029.3122358,1779055029.3122497,1.3113021850585938e-05,1779054928.2715044,1779054928.2715175,1.1920928955078125e-05,1779054928.2422345,1779054928.2422464,17.0,1779054928.2419455,1.811981201171875e-05,1779055029.3123393,1779055029.3123574
"GoldenRun_Baseline",1.049041748046875e-05,1779055130.5312524,1779055130.5312629,7.867813110351562e-06,1779055130.5313036,1779055130.5313115,101.14984321594238,1779055130.5313346,"False",0.011907339096069336,1779055029.3818138,1779055029.393721,7.62939453125e-06,1779055029.393776,1779055029.3937836,101.13741731643677,1779055029.3938003,1779055130.5312176,9.059906005859375e-06,1779055130.5312364,1779055130.5312455,1.2636184692382812e-05,1779055029.3937497,1779055029.3937624,1.1205673217773438e-05,1779055029.3817935,1779055029.3818047,18.0,1779055029.3814914,1.1205673217773438e-05,1779055130.5312788,1779055130.53129
"GoldenRun_Baseline",1.1682510375976562e-05,1779055231.6985679,1779055231.6985795,7.867813110351562e-06,1779055231.698623,1779055231.6986308,101.0662636756897,1779055231.6986644,"False",0.02231764793395996,1779055130.6351078,1779055130.6574254,6.4373016357421875e-06,1779055130.6574824,1779055130.6574888,101.0410270690918,1779055130.6575048,1779055231.6985319,9.059906005859375e-06,1779055231.6985517,1779055231.6985607,1.239776611328125e-05,1779055130.6574585,1779055130.657471,1.5735626220703125e-05,1779055130.635079,1779055130.6350946,19.0,1779055130.6324008,1.0967254638671875e-05,1779055231.698597,1779055231.698608
"GoldenRun_Baseline",9.5367431640625e-06,1779055332.9462502,1779055332.9462597,8.344650268554688e-06,1779055332.9462993,1779055332.9463077,101.12975263595581,1779055332.9463563,"False",0.06203174591064453,1779055231.8169746,1779055231.8790064,6.198883056640625e-06,1779055231.8790665,1779055231.8790727,101.0671215057373,1779055231.8790905,1779055332.946212,9.5367431640625e-06,1779055332.946233,1779055332.9462426,1.3113021850585938e-05,1779055231.8790405,1779055231.8790536,1.1920928955078125e-05,1779055231.8169544,1779055231.8169663,20.0,1779055231.8166037,1.1205673217773438e-05,1779055332.9462745,1779055332.9462857
